MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
A1CVD03,ARRAY,GA1CVD01,BA1CVD01,,CVD 成膜设备3#
A1CVD02,ARRAY,GA1CVD01,BA1CVD01,,CVD 成膜设备2#
A1CVD01_CV1,ARRAY,,BA1CVD01,A1CVD01,Indexer/CVD Chamber
A1CVD01_CV1_CHA,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber A
A1CVD01_CV1_RT1,ARRAY,,BA1CVD01,A1CVD01_CV1,Indexer Robot
A1CVD01_CV1_LL1,ARRAY,,BA1CVD01,A1CVD01_CV1,L/L
A1CVD01_CV1_CHB,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber B
A1CVD01_CV1_CHC,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber C
A1CVD01_CV1_CHD,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber D
A1CVD01_CV1_CHE,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber E
A1CVD01_CV1_CHF,ARRAY,,BA1CVD01,A1CVD01_CV1,Chamber F
A1PHT07_CT1_OV3,ARRAY,,BA1PHT03,A1PHT07_CT1,TS COL(3-4)
A1CVD02_CV1,ARRAY,,BA1CVD01,A1CVD02,Indexer/CVD Chamber
A1CVD02_CV1_RT1,ARRAY,,BA1CVD01,A1CVD02_CV1,Indexer Robot
A1CVD02_CV1_LL1,ARRAY,,BA1CVD01,A1CVD02_CV1,L/ L
A1CVD02_CV1_CHA,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber A
A1CVD02_CV1_CHB,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber B
A1CVD02_CV1_CHC,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber C
F1OCL01_BK2_BK1,CF,,BF1OCL01,F1OCL01_BK2,Pre-bake
A1CVD02_CV1_CHD,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber D
A1CVD02_CV1_CHE,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber E
A1CVD02_CV1_CHF,ARRAY,,BA1CVD01,A1CVD02_CV1,Chamber F
F1CSL01_CT1_CT1,CF,,BF1CSL01,F1CSL01_CT1,Glass in /Glass out Report
C1PIS01_LD1_PT2,CELL,,BC1PIL01,C1PIS01_LD1,In Port 2
C1PIS01_UD1_PT1,CELL,,BC1PIL01,C1PIS01_UD1,Out Port 1
F1OCL01_BK1_BK1,CF,,BF1OCL01,F1OCL01_BK1,Hard-bake
C1PIS01_LD1_PT1,CELL,,BC1PIL01,C1PIS01_LD1,In Port 1
C1PIS01_UD1_PT2,CELL,,BC1PIL01,C1PIS01_UD1,Out Port 2
A1SHP02,ARRAY,GA1INS01,BA1DRE01,,SHP 段差测量 2#
F1CSL01_TM1_RT1,CF,,BF1CSL01,F1CSL01_TM1,Transfer 1# Robot
A1SHP02_LD1,ARRAY,,BA1DRE01,A1SHP02,Loader Index
A1SHP02_TE1,ARRAY,,BA1DRE01,A1SHP02,TE
F1CSL01_TM2_RT1,CF,,BF1CSL01,F1CSL01_TM2,Transfer 2# Robot
C1ODF02_IN1,CELL,Y,BC1ODF01,C1ODF02,Align Checker
F1CSL01_EX1_EX1,CF,,BF1CSL01,F1CSL01_EX1,Glass in /Glass out Report
F1CSL01_DV1_DV1,CF,,BF1CSL01,F1CSL01_DV1,CS线 显影
A1PHT07_CT1_OV4,ARRAY,,BA1PHT03,A1PHT07_CT1,AHP(3-5)
A1PHT07_CT1_OV5,ARRAY,,BA1PHT03,A1PHT07_CT1,AHP(3-6)
A1PHT07_CT1_OV6,ARRAY,,BA1PHT03,A1PHT07_CT1,TS COL(3-7)
A1PHT07_CT1_BF1,ARRAY,,BA1PHT03,A1PHT07_CT1,PSTAGE(3-8)
A1PHT07_CT1_BF2,ARRAY,,BA1PHT03,A1PHT07_CT1,PSTAGE(3-9)
C1ODF03_CR2,CELL,,BC1ODF01,C1ODF03,MAIN CURE
A1PHT07_CT1_BF3,ARRAY,,BA1PHT03,A1PHT07_CT1,PSTAGE(3-10)
A1PHT07_CT1_BF4,ARRAY,,BA1PHT03,A1PHT07_CT1,PSTAGE(3-11)
A1PHT07_BF1,ARRAY,,BA1PHT03,A1PHT07,Buffer
A1PHT07_BF1_LA1,ARRAY,,BA1PHT03,A1PHT07_BF1,Glass out(Turn)
A1PHT07_BF1_UA1,ARRAY,,BA1PHT03,A1PHT07_BF1,Glass in(Turn)
C1ODF03_AC1,CELL,,BC1ODF01,C1ODF03,Align_Checker
A1PHT07_BF1_EE1,ARRAY,,BA1PHT03,A1PHT07_BF1,EE
A1PHT07_BF1_EX1,ARRAY,,BA1PHT03,A1PHT07_BF1,Exposure
A1PHT07_DV1_LA1,ARRAY,,BA1PHT03,A1PHT07_DV1,Glass Out
A1PHT07_DV1_UA1,ARRAY,,BA1PHT03,A1PHT07_DV1,Glass in
A1PHT07_DV1_OV1,ARRAY,,BA1PHT03,A1PHT07_DV1,AHP(5-2)
